"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","12","311-1141-1-ND","CC0805KRX7R8BB104","CAP CER 0.1UF 25V X7R 0805","C1 C5 C6 C10 C12 C13 C14 C15 C17 C22 C25 C30","12","0","0.11300","1.36"
"2","2","399-8062-1-ND","C0805C330K5GACTU","CAP CER 33PF 50V C0G/NP0 0805","C2 C4","2","0","0.12000","0.24"
"3","10","1276-2926-1-ND","CL21B105KAFNFNE","CAP CER 1UF 25V X7R 0805","C3 C8 C16 C20 C21 C24 C28","10","0","0.08000","0.80"
"4","1","1276-1765-1-ND","CL21B331KBANNNC","CAP CER 330PF 50V X7R 0805","C18","1","0","0.10000","0.10"
"5","1","1276-1260-1-ND","CL21B332KBANNNC","CAP CER 3300PF 50V X7R 0805","C26","1","0","0.10000","0.10"
"6","1","1276-2424-1-ND","CL21B102KBANFNC","CAP CER 1000PF 50V X7R 0805","C31","1","0","0.10000","0.10"
"7","1","311-3603-1-ND","CC0805KRX7R9BB101","CAP CER 100PF 50V X7R 0805","C19","1","0","0.13000","0.13"
"8","1","P15450CT-ND","EEH-ZA1V151P","CAP ALUM POLY HYB 150UF 35V SMD","C23","1","0","2.57000","2.57"
"9","1","732-1620-1-ND","742792040","FERRITE BEAD 600 OHM 0805 1LN","L1","1","0","0.22000","0.22"
"10","1","283-4729-1-ND","MPIA4020V2-2R2-R","FIXED IND 2.2UH 3.8A 48 MOHM SMD","L2","1","0","1.80000","1.80"
"11","3","1276-2397-1-ND","CL21A106KACLRNC","CAP CER 10UF 25V X5R 0805","C27 C29 C11","3","0","0.57000","1.71"
"12","1","1655-1529-1-ND","SD32315TR","TVS DIODE 15V 24V SOD323","D3","1","0","0.52000","0.52"
"13","1","511-1578-1-ND","SML-D12M8WT86","LED GREEN DIFFUSED 0603 SMD","D2","1","0","0.34000","0.34"
"14","2","399-17612-1-ND","C0805C100K5RAC7800","CAP CER SMD 0805 10PF 10% X7R 50","C7 C9","2","0","0.30000","0.60"
"15","2","296-35483-1-ND","TPS70933DBVR","IC REG LINEAR 3.3V 150MA SOT23-5","IC1 IC10","2","0","1.17000","2.34"
"16","1","296-23770-1-ND","INA219AIDCNR","IC CURRENT MONITOR 1% SOT23-8","IC2","1","0","2.14000","2.14"
"17","1","497-14903-ND","STM32L052C8T6","IC MCU 32BIT 64KB FLASH 48LQFP","IC3","1","0","4.04000","4.04"
"18","1","LMP7702MM/NOPBCT-ND","LMP7702MM/NOPB","IC OPAMP GP 2.5MHZ RRO 8VSSOP","IC5","1","0","3.55000","3.55"
"19","1","296-39448-1-ND","TPS62143RGTR","IC REG BUCK 5V 2A SYNC 16QFN","IC6","1","0","2.08000","2.08"
"20","1","296-46278-1-ND","TPS22918DBVR","IC SINGLE CHANNEL LOAD SWITCH","IC8","1","0","0.55000","0.55"
"21","1","828-1063-1-ND","BME280","SENSOR PRESSURE HUMIDITY TEMP","IC9","1","0","8.10000","8.10"
"22","1","887-1448-1-ND","7A-8.000MAAJ-T","CRYSTAL 8.0000MHZ 18PF SMD","Y1","1","0","0.72000","0.72"
"23","1","535-10241-1-ND","ABS25-32.768KHZ-6-1-T","CRYSTAL 32.7680KHZ 6PF SMD","Y2","1","0","0.68000","0.68"
"24","1","1516-1131-1-ND","QBLP679E-RGB","LED RGB DIFFUSED 6PLCC SMD","LED1","1","0","0.92000","0.92"
"25","1","A121350-ND","1546215-2","TERM BLK 2P SIDE ENT 2.54MM PCB","J4","1","0","1.48000","1.48"
"26","2","SAM10451-ND","ESQ-108-14-G-D","CONN SOCKET 16POS 0.1 GOLD PCB","J7","2","0","3.87000","7.74"
"27","1","455-1720-ND","S3B-PH-K-S(LF)(SN)","CONN HEADER R/A 3POS 2MM","J2","1","0","0.18000","0.18"
"28","1","455-1721-ND","S4B-PH-K-S(LF)(SN)","CONN HEADER R/A 4POS 2MM","J3","1","0","0.22000","0.22"
"29","2","679-2453-ND","MJTP1250","SWITCH TACTILE SPST-NO 0.05A 12V","S1 S2","2","0","0.27000","0.54"
